toolId;FB;PMD
AAA;-;1
AAAI;-;1
AAL;-;1
ABSALIL;-;1
ACEJFE;1;-
ACEZFE;1;-
ACF;1;2
ACG;-;1
ACGE;-;1
ACI;-;1
ACNPE;-;1
ACT;-;1
ACWAM;-;1
ACWC;-;1
ADL;-;1
ADLIBDC;1;2
ADNIS;-;1
ADS;-;1
AEAI;-;1
AES;-;1
AFLV;-;1
AFNMMN;-;1
AFNMTN;-;1
AICICC;-;1
AIO;-;1
AIOIL;-;1
AISD;-;1
ALEI;-;1
ALIIC;-;1
ALOC;-;1
AMUO;-;1
AN;-;1
AOSOCA;1;-
APFIFC;1;2
APMIFCNE;-;1
APMP;-;1
APST;-;1
ARE;-;1
ARP;-;1
ASAML;-;1
ASBF;-;1
ATG;-;1
ATNFS;-;1
ATNIOSE;-;1
ATNPE;-;1
ATRET;-;1
AUHCIP;-;1
AUNC;-;1
AUOV;-;1
AUST;-;1
AUV;-;1
AbCWAM;-;1
BA;1;-
BAOSB;1;-
BAZ;1;-
BBAC;1;-
BBCTAC;1;-
BBCTCC;1;-
BBIU;1;-
BBIUTPC;1;-
BBOA;1;-
BC;1;2
BEMSWFAO;1;-
BGMN;-;1
BI;-;1
BIC;1;-
BID;1;-
BII;-;1
BIOSB;1;-
BMSS;-;1
BNC;-;1
BSC;1;-
BSCHB;1;-
BUACFTO;1;-
BUC;1;-
BUCORV;1;-
BUIR;1;-
BVI;1;-
BcII;1;-
BiI;1;-
BoI;-;1
ByI;-;1
CAS;1;-
CASR;-;1
CBO;-;1
CC;-;1
CCD;1;-
CCEWTA;1;2
CCOM;-;1
CCRMV;1;-
CICBNC;1;-
CIS;-;1
CLA;-;1
CMMIC;-;1
CNC;1;2
COWE;-;1
CR;-;1
CRCV;1;-
CRS;-;1
CS;-;1
CSF;-;1
CSIC;-;1
CSL;-;1
CSNO;1;-
CSR;-;1
CT;-;1
CTCNSE;-;1
CWOPCSBF;-;1
ClMMIC;1;2
ClR;-;1
CoC;-;1
DAA;-;1
DAINVTR;1;-
DAWO;1;-
DBC;1;-
DBM;1;-
DBMOU;1;-
DBPFP;1;-
DBPT;1;-
DCCIDP;1;-
DCDP;1;-
DCL;1;2
DCNFH;1;-
DCOU;1;-
DCSNCT;1;-
DCTR;1;2
DDB;1;-
DDE;1;-
DDIDP;1;-
DDLS;1;-
DDLSIR;1;-
DDLSON;1;-
DDLSSF;1;-
DDSC;1;-
DDSOCL;1;-
DEDP;1;-
DESMREO;1;-
DFATCMSOSTPE;1;-
DFNC;1;-
DHAF;1;-
DI;-;1
DIHOA;1;-
DIJL;-;1
DIS;-;1
DITOA;1;-
DITOAA;1;-
DLBTDIOI;1;-
DLNLISS;1;2
DMD;1;-
DMI;1;-
DMWOC;1;-
DNCGCE;1;2
DNCSE;1;2
DNEJLE;-;1
DNHCSDC;-;1
DNOW;1;-
DNTEIF;-;1
DNUT;1;2
DNVN;1;-
DOI;1;-
DP;-;1
DRFOE;1;-
DRUOO;1;-
DSC;1;-
DSOB;1;-
DSOBP;1;-
DSOSC;1;-
DSOUBP;1;-
DSTPEWZCT;1;-
DSVC;1;-
DUFTFLI;-;1
DUM;1;-
DURTCC;1;-
DUS;1;-
DUT;1;-
DVCTEM;1;-
DVSCC;1;-
DmD;1;-
EAAN;1;-
EAF;1;-
EAFC;-;1
EAS;1;-
EAT;1;-
EBAC;1;-
ECB;-;1
ECCN;1;-
ECFONCWT;1;-
ECL;-;1
ECPSWE;1;-
ECSWE;1;-
ECUOE;1;-
EDDEFE;1;-
EDOE;1;-
EER;1;-
EESR;1;-
EF;1;2
EFB;-;1
EGACC;1;-
EI;-;1
EIAC;1;-
EIS;-;1
EMIACSBA;-;1
EML;-;1
EN;-;1
ENA;1;-
EO;-;1
EOENS;1;-
EONO;1;-
EOUO;1;-
EPC;-;1
EPL;-;1
ESB;1;2
ESI;-;1
ESNIL;-;1
ESNO;1;-
ESS;-;1
ESUO;1;-
ETB;-;1
EU;1;-
EUCAI;1;-
EUI;1;-
EUT;1;-
EUTUPE;1;-
EWS;-;1
EiER;1;-
EmI;-;1
EmSB;-;1
FDNCSF;1;2
